100,100
40,4.64633
70,37.35753
50,6.77275
80,8.51878
10,2.47629
90,30.26202
40,11.472
50,4.49044
60,5.09014
100,9.42609
40,5.39663
80,7.41012
70,18.1667
20,3.00989
60,6.92851
10,2.38356
100,19.12573
30,6.3007
100,101.28548
40,6.45742
70,12.36536
20,2.96271
40,4.23203
70,8.26423
90,13.41259
20,3.0654
60,8.63387
100,11.23692
10,2.42436
90,18.89263
70,10.75359
50,5.2482
10,2.30806
80,56.60549
10,2.34198
70,9.43635
30,3.64071
20,4.06433
10,2.32864
30,3.34152
40,4.99879
50,16.2915
50,7.61918
30,5.06522
20,2.86163
40,7.35459
40,4.46192
60,14.00759
100,13.35867
30,3.93143
30,4.37152
70,5.72152
30,4.69614
100,38.29765
50,6.16901
100,22.96547
10,2.42299
70,6.5025
10,2.41806
50,4.83623
90,23.1654
20,3.61456
80,23.70285
40,5.849
30,3.81329
80,11.32888
100,7.82039
10,2.28596
80,15.29336
20,2.87119
70,7.33827
40,3.92388
30,4.18482
20,3.28316
90,9.76075
10,2.37219
70,14.59473
20,3.394
80,18.5004
90,71.23224
50,5.70381
60,27.82457
80,6.52352
100,16.01494
60,7.73431
60,5.63175
80,13.01003
60,6.2629
90,15.89061
90,11.46845
60,11.52135
50,10.05113
20,3.15053
90,8.36216
100,28.38395
90,7.10713
80,9.83573
30,3.46641
50,8.65727
